upper,lower,f_THz,|d| [C*m],Rabi(1 V/m) [Hz],visible_yield(500~600nm),FoM = yield * n
20D_3/2,21P_1/2,0.144859979,1.81E-27,2729834.602,0.49875,8554588.259
20D_5/2,21P_3/2,0.115600113,1.89E-27,2853611.979,0.4575,8202871.082
20S_1/2,20P_3/2,0.7591788,1.20E-27,1817634.473,0.4325,4939381.048
20S_1/2,19P_3/2,0.869062899,1.04E-27,1571269.672,0.46125,4553726.84
20S_1/2,20P_1/2,0.710934492,8.82E-28,1331142.251,0.4025,3366434.906
20S_1/2,19P_1/2,0.927306288,7.01E-28,1058048.612,0.43375,2883533.344
20D_3/2,22P_1/2,1.002889122,5.75E-28,868437.2992,0.48625,2653248.643
21D_3/2,22P_1/2,0.122445805,2.02E-27,3051611.12,0.13625,2612435.449
20D_5/2,22P_3/2,1.025922556,5.52E-28,833744.3759,0.4675,2449031.668
19D_3/2,20P_1/2,0.173108811,1.61E-27,2425875.113,0.14375,2191069.537
24S_1/2,24P_3/2,0.39154727,1.86E-27,2812810.778,0.11625,2054534.069
19D_5/2,20P_3/2,0.138159382,1.68E-27,2535905.909,0.12875,2051446.719
27S_1/2,27P_3/2,0.258435403,2.45E-27,3701042.299,0.08625,2005686.359
28S_1/2,28P_3/2,0.227700489,2.67E-27,4024138.623,0.0775,1959541.672
23S_1/2,22P_3/2,0.513916781,1.49E-27,2242005.731,0.13375,1884127.886
22D_3/2,23P_1/2,0.104432678,2.25E-27,3391204.288,0.08625,1837777.477
23S_1/2,23P_3/2,0.455978426,1.69E-27,2543752.632,0.11375,1818051.367
29S_1/2,29P_3/2,0.201652258,2.89E-27,4360744.57,0.06625,1815208.011
30S_1/2,30P_3/2,0.17943037,3.12E-27,4710860.159,0.06125,1812951.449
22S_1/2,22P_3/2,0.535359031,1.52E-27,2288203.916,0.11875,1707293.595
29S_1/2,28P_3/2,0.222837176,2.61E-27,3939242.105,0.06875,1701630.433
28S_1/2,27P_3/2,0.252274289,2.40E-27,3623427.922,0.07375,1679041.845
30S_1/2,29P_3/2,0.197808067,2.83E-27,4268232.944,0.0625,1676131.157
24S_1/2,23P_3/2,0.439481479,1.65E-27,2491937.138,0.10625,1663588.423
18D_3/2,19P_1/2,0.209226321,1.42E-27,2139733.119,0.1225,1646931.612
25S_1/2,24P_3/2,0.378757203,1.83E-27,2755045.014,0.095,1644493.543
18D_5/2,19P_3/2,0.167011077,1.48E-27,2236821.801,0.11375,1598684.118
26S_1/2,26P_3/2,0.294960328,2.25E-27,3391455.57,0.075,1598185.786
27S_1/2,26P_3/2,0.287134361,2.20E-27,3320790.367,0.07625,1590967.02
25S_1/2,25P_3/2,0.338705564,2.05E-27,3095378.409,0.08125,1580217.936
26S_1/2,25P_3/2,0.328726279,2.01E-27,3031329.409,0.0825,1571328.363
17D_5/2,18P_3/2,0.204519501,1.30E-27,1956360.242,0.12625,1551886.959
22S_1/2,22P_1/2,0.501176382,1.11E-27,1676516.788,0.14625,1540577.851
29S_1/2,29P_1/2,0.188639094,2.12E-27,3198251.904,0.07625,1532259.715
17D_3/2,18P_1/2,0.256162897,1.24E-27,1871409.191,0.125,1469801.341
16D_5/2,17P_3/2,0.254204847,1.12E-27,1694521.958,0.1375,1463961.877
26S_1/2,26P_1/2,0.275996653,1.65E-27,2486474.779,0.0925,1445125.816
28S_1/2,28P_1/2,0.213023115,1.96E-27,2951058.673,0.0775,1437008.758
23S_1/2,22P_1/2,0.548099431,1.00E-27,1510795.03,0.15125,1435756.527
24S_1/2,24P_1/2,0.366451918,1.37E-27,2061627.541,0.11,1424894.666
20D_5/2,20P_3/2,1.471776998,2.92E-28,440378.3147,0.51375,1421535.233
25S_1/2,25P_1/2,0.316961619,1.50E-27,2269084.087,0.09375,1336600.856
24S_1/2,23P_1/2,0.468653891,1.11E-27,1679533.846,0.12375,1305911.77
30S_1/2,30P_1/2,0.167839042,2.29E-27,3455379.338,0.06,1302647.321
16D_3/2,17P_1/2,0.318307126,1.07E-27,1620904.039,0.12625,1285785.606
27S_1/2,27P_1/2,0.241797521,1.80E-27,2713799.636,0.075,1278847.95
22S_1/2,21P_3/2,0.606163637,1.33E-27,2005250.733,0.10125,1275685.397
23S_1/2,23P_1/2,0.426806015,1.24E-27,1864105.118,0.10875,1273736.32
20D_3/2,21P_3/2,0.104450897,2.57E-28,388520.1672,0.51625,1260240.696
15D_3/2,16P_1/2,0.402378203,9.20E-28,1388218.554,0.14,1221140.819
27S_1/2,26P_1/2,0.306098036,1.48E-27,2239220.979,0.08625,1213489.23
30S_1/2,29P_1/2,0.210821231,1.91E-27,2879114.785,0.06625,1198463.276
20D_3/2,20P_1/2,1.508872091,2.44E-28,368342.976,0.51625,1194792.054
29S_1/2,28P_1/2,0.23751455,1.76E-27,2656904.957,0.07,1168567.833
28S_1/2,27P_1/2,0.268912172,1.62E-27,2443607.028,0.075,1151522.683
26S_1/2,25P_1/2,0.350470224,1.35E-27,2043746.785,0.08625,1107556.93
14D_5/2,15P_3/2,0.414851052,8.13E-28,1226719.077,0.13125,1011636.055
19S_1/2,19P_3/2,0.919133611,1.06E-27,1602613.54,0.0975,981777.9903
15D_5/2,16P_3/2,0.32146319,9.62E-28,1451307.855,0.1075,980274.8906
14D_3/2,15P_1/2,0.519014649,7.77E-28,1173353.859,0.1275,939980.9649
21S_1/2,21P_3/2,0.634289358,1.36E-27,2046164.559,0.07,899950.1767
25S_1/2,24P_1/2,0.403852554,1.23E-27,1857184.418,0.07625,889763.831
13D_5/2,14P_3/2,0.548488725,6.76E-28,1020757.069,0.1375,881870.7998
21S_1/2,21P_1/2,0.593880276,9.93E-28,1498862.515,0.0875,824042.7066
12D_5/2,13P_3/2,0.74681782,5.52E-28,833423.662,0.15125,792028.9903
13D_3/2,14P_1/2,0.685738731,6.47E-28,976311.3836,0.12875,789796.9626
26D_3/2,28P_1/2,0.422472854,1.05E-27,1591614.995,0.075,750030.8961
24D_5/2,26P_3/2,0.561644629,8.44E-28,1274165.213,0.0925,740537.9935
19S_1/2,18P_3/2,1.059150847,9.10E-28,1374043.423,0.08,690669.5559
26D_5/2,28P_3/2,0.432536753,1.01E-27,1529276.152,0.07,672610.7813
19S_1/2,19P_1/2,0.860890222,7.77E-28,1173355.932,0.09,663517.1477
22S_1/2,21P_1/2,0.646572719,8.95E-28,1350967.924,0.0775,657849.5904
22D_3/2,24P_1/2,0.730673131,7.19E-28,1085346.05,0.09625,656370.1715
22D_5/2,24P_3/2,0.747703239,6.91E-28,1042321.751,0.1,654910.0709
28D_3/2,30P_1/2,0.332175542,1.25E-27,1880977.165,0.05375,635245.8847
19D_3/2,21P_1/2,1.190903301,5.10E-28,769038.6766,0.13125,634201.6424
20S_1/2,21P_3/2,2.115355686,1.53E-28,231043.3492,0.4325,627855.1367
19D_5/2,21P_3/2,1.218017503,4.89E-28,738179.8492,0.135,626146.3056
28D_5/2,30P_3/2,0.340154459,1.20E-27,1807655.512,0.05375,610483.6072
21D_3/2,23P_1/2,0.85245964,6.45E-28,973873.0077,0.09875,604253.6766
25D_5/2,27P_3/2,0.491482334,9.27E-28,1398812.181,0.06875,604243.4847
27D_5/2,29P_3/2,0.38265299,1.10E-27,1665557.232,0.0575,601737.772
21S_1/2,20P_3/2,0.721887527,1.18E-27,1781672.075,0.05375,601708.4495
21D_5/2,23P_3/2,0.872190648,6.20E-28,935124.9131,0.10125,594900.7653
23D_5/2,25P_3/2,0.645823938,7.66E-28,1155335.121,0.08125,589808.7535
12D_3/2,13P_1/2,0.932805008,5.28E-28,797092.9493,0.1175,588473.2182
23D_3/2,25P_1/2,0.631023992,7.97E-28,1202856.624,0.0775,585727.2574
27D_3/2,29P_1/2,0.373712042,1.15E-27,1733277.032,0.05375,585364.417
18S_1/2,18P_3/2,1.127379714,9.28E-28,1401101.605,0.06625,583223.9923
20S_1/2,18P_3/2,2.847347357,1.36E-28,205824.0534,0.415,536690.7272
18S_1/2,18P_1/2,1.056171693,6.80E-28,1025503.474,0.0825,531582.8396
20D_5/2,19P_3/2,3.100018698,1.10E-28,166045.8929,0.5025,524256.8002
21S_1/2,20P_1/2,0.770131836,7.95E-28,1200052.473,0.06875,518385.4546
24D_3/2,26P_1/2,0.548702241,8.79E-28,1326404.889,0.06125,510460.4222
17D_5/2,19P_3/2,1.773764956,3.74E-28,564497.2581,0.14375,509858.3762
25D_3/2,27P_1/2,0.480099499,9.65E-28,1455990.977,0.055,503154.3611
11D_5/2,12P_3/2,1.054684547,4.40E-28,663993.8823,0.11875,495424.5969
18D_5/2,20P_3/2,1.461230623,4.30E-28,648430.9665,0.12125,493998.1955
11D_3/2,12P_1/2,1.315542858,4.21E-28,635204.3254,0.12375,493899.4274
18S_1/2,17P_3/2,1.309017122,7.88E-28,1189993.212,0.065,486001.6112
