upper,lower,f_THz,|d| [C·m] (from Ω),Ω(1 V/m) [Hz],visible_yield(500–600nm),FoM = Ω×yield
21P_3/2,20D_5/2,0.11560011280020012,1.8908233140093006e-27,2853611.9786897283,0.505,9054535.292731958
20D_5/2,21P_3/2,0.11560011280020012,1.890823314009301e-27,2853611.978689729,0.47875,8583878.755238468
22P_3/2,20D_5/2,1.0259225555212814,5.524448718751237e-28,833744.3759384548,0.49875,2612736.993404006
20D_5/2,22P_3/2,1.0259225555212814,5.524448718751238e-28,833744.3759384549,0.4925,2579995.9283237555
20P_3/2,19D_5/2,0.13815938247834228,1.680309043575052e-27,2535905.9088811637,0.1525,2429868.9289284833
19P_3/2,18D_5/2,0.16701107657516168,1.4821338159461992e-27,2236821.801312096,0.1575,2213562.625593344
19D_5/2,20P_3/2,0.13815938247834228,1.6803090435750525e-27,2535905.908881164,0.1375,2190865.4277224033
18P_3/2,17D_5/2,0.20451950147736428,1.2962980195481322e-27,1956360.242190311,0.14875,1828460.871980468
18D_5/2,19P_3/2,0.16701107657516168,1.4821338159461996e-27,2236821.801312097,0.13,1827067.5639818085
17D_5/2,18P_3/2,0.20451950147736428,1.2962980195481325e-27,1956360.2421903114,0.12125,1490426.088925256
20D_5/2,20P_3/2,1.4717769982322886,2.9179776037177143e-28,440378.3146644795,0.475,1314314.814242674
20P_3/2,20D_5/2,1.4717769982322886,2.917977603717713e-28,440378.3146644794,0.47125,1303938.644656547
16D_5/2,17P_3/2,0.2542048474454925,1.1228021355506828e-27,1694521.9576925929,0.1175,1251021.9674039062
17P_3/2,16D_5/2,0.2542048474454925,1.1228021355506825e-27,1694521.9576925922,0.11375,1211095.7344016535
15D_5/2,16P_3/2,0.32146319017104774,9.616467651195266e-28,1451307.8550922768,0.13125,1196847.2501094525
15P_3/2,14D_5/2,0.414851051766619,8.128326651863046e-28,1226719.0767431625,0.13875,1069443.8299653495
14D_5/2,15P_3/2,0.414851051766619,8.128326651863048e-28,1226719.0767431627,0.1275,982732.1680762672
16P_3/2,15D_5/2,0.32146319017104774,9.616467651195264e-28,1451307.8550922764,0.105,957477.8000875617
14P_3/2,13D_5/2,0.5484887252682459,6.7636079400490145e-28,1020757.0688326032,0.145,929972.8434778635
13D_5/2,14P_3/2,0.5484887252682459,6.763607940049016e-28,1020757.0688326035,0.13625,873853.7925783376
29D_5/2,31P_3/2,0.3037234636355841,1.2957751061319993e-27,1955571.0663973964,0.06375,783309.9812102693
32P_3/2,30D_5/2,0.2723146696342756,1.3976395998176256e-27,2109303.9600161584,0.0575,762055.9898720817
12D_5/2,13P_3/2,0.7468178202065872,5.5223236455634745e-28,833423.661979659,0.135,706934.9665268639
27P_3/2,25D_5/2,0.4914823339433892,9.268627630761348e-28,1398812.180767572,0.08,703119.6913362116
24D_5/2,26P_3/2,0.5616446292622874,8.442708079983652e-28,1274165.2131703831,0.0875,700508.912802256
24P_3/2,22D_5/2,0.7477032389792496,6.906497034763853e-28,1042321.7506979754,0.105,687655.5744806184
25P_3/2,23D_5/2,0.6458239379478665,7.655331555475917e-28,1155335.1212507894,0.09,653326.6192840354
13P_3/2,12D_5/2,0.7468178202065872,5.522323645563471e-28,833423.6619796585,0.1225,641478.0251817835
