upper,lower,f_THz,|d| [C·m] (from Ω),Ω(1 V/m) [Hz],visible_yield(500??00nm),FoM = Ω×yield,Normalized
21P_3/2,20D_5/2,0.115600113,1.89E-27,2853612 ,0.51125,9166596 ,10.58697696
20D_5/2,21P_3/2,0.115600113,1.89E-27,2853612 ,0.505,9054535 ,10.45755182
22P_3/2,20D_5/2,1.025922556,5.52E-28,833744 ,0.4825,2527610 ,2.919267973
19D_5/2,20P_3/2,0.138159382,1.68E-27,2535906 ,0.1575,2509537 ,2.898393996
20D_5/2,22P_3/2,1.025922556,5.52E-28,833744 ,0.46875,2455580 ,2.836076399
20P_3/2,19D_5/2,0.138159382,1.68E-27,2535906 ,0.12125,1931945 ,2.231303315
18D_5/2,19P_3/2,0.167011077,1.48E-27,2236822 ,0.12875,1809500 ,2.089884824
19P_3/2,18D_5/2,0.167011077,1.48E-27,2236822 ,0.12125,1704092 ,1.968143961
17D_5/2,18P_3/2,0.204519501,1.30E-27,1956360 ,0.12875,1582617 ,1.827846804
17P_3/2,16D_5/2,0.254204847,1.12E-27,1694522 ,0.13875,1477271 ,1.70617636
18P_3/2,17D_5/2,0.204519501,1.30E-27,1956360 ,0.12,1475061 ,1.703624206
16D_5/2,17P_3/2,0.254204847,1.12E-27,1694522 ,0.12875,1370801 ,1.583208694
20D_5/2,20P_3/2,1.471776998,2.92E-28,440378 ,0.46625,1290104 ,1.490007648
15D_5/2,16P_3/2,0.32146319,9.62E-28,1451308 ,0.14,1276637 ,1.474454276
20P_3/2,20D_5/2,1.471776998,2.92E-28,440378 ,0.45625,1262434 ,1.458050379
14D_5/2,15P_3/2,0.414851052,8.13E-28,1226719 ,0.16125,1242867 ,1.435451654
16P_3/2,15D_5/2,0.32146319,9.62E-28,1451308 ,0.13,1185449 ,1.369136113
15P_3/2,14D_5/2,0.414851052,8.13E-28,1226719 ,0.1275,982732 ,1.135008285
13D_5/2,14P_3/2,0.548488725,6.76E-28,1020757 ,0.135,865837 ,0.999999752
13P_3/2,12D_5/2,0.74681782,5.52E-28,833424 ,0.15375,805120 ,0.929875229
14P_3/2,13D_5/2,0.548488725,6.76E-28,1020757 ,0.12375,793684 ,0.916666439
22D_5/2,24P_3/2,0.747703239,6.91E-28,1042322 ,0.11625,761333 ,0.879302868
29P_3/2,27D_5/2,0.38265299,1.10E-27,1665557 ,0.0725,758713 ,0.876276762
23D_5/2,25P_3/2,0.645823938,7.66E-28,1155335 ,0.10375,753140 ,0.869840869
26D_5/2,28P_3/2,0.432536753,1.01E-27,1529276 ,0.075,720654 ,0.832321105
12D_5/2,13P_3/2,0.74681782,5.52E-28,833424 ,0.1375,720026 ,0.831595733
24D_5/2,26P_3/2,0.561644629,8.44E-28,1274165 ,0.0875,700509 ,0.809054028
25D_5/2,27P_3/2,0.491482334,9.27E-28,1398812 ,0.07875,692133 ,0.799380768
27P_3/2,25D_5/2,0.491482334,9.27E-28,1398812 ,0.0775,681147 ,0.786692185
26P_3/2,24D_5/2,0.561644629,8.44E-28,1274165 ,0.08375,670487 ,0.774380284
21P_3/2,19D_5/2,1.218017503,4.89E-28,738180 ,0.1375,637742 ,0.736560816
32D_5/2,34P_3/2,0.221379633,1.61E-27,2434222 ,0.04125,630905 ,0.728664916
