upper,lower,f_THz,|d| [C·m] (from Ω),Ω(1 V/m) [Hz],visible_yield(500–600nm),FoM = Ω×yield
20D_5/2,21P_3/2,0.3091827665594894,1.9645066000213833e-27,2964814.0704110633,0.2925,5448829.290174882
23D_5/2,24P_3/2,0.1965578522555066,2.6478409823032057e-27,3996095.6101945112,0.215,5398264.983172684
24D_5/2,25P_3/2,0.1714074869747323,2.8981124927852852e-27,4373802.916289702,0.19125,5255820.469599993
22P_3/2,21D_5/2,0.26379721479455265,2.1810377459684383e-27,3291600.7496612486,0.24625,5092877.851340569
22D_5/2,23P_3/2,0.22688580702053704,2.408815978997831e-27,3635361.4222960784,0.22,5025162.884468804
24P_3/2,23D_5/2,0.1965578522555066,2.6478409823032043e-27,3996095.6101945094,0.19625,4927486.060221576
26P_3/2,25D_5/2,0.15037451347773081,3.1596302900381166e-27,4768483.007947151,0.16375,4906156.713590058
26D_5/2,27P_3/2,0.13264910772876007,3.432394188101678e-27,5180135.6045178175,0.15,4882162.787925629
21P_3/2,20D_5/2,0.3091827665594894,1.964506600021383e-27,2964814.0704110623,0.25875,4820118.218231626
25D_5/2,26P_3/2,0.15037451347773081,3.1596302900381176e-27,4768483.0079471525,0.15875,4756350.401724715
25P_3/2,24D_5/2,0.1714074869747323,2.8981124927852845e-27,4373802.916289701,0.17125,4706192.1851973785
21D_5/2,22P_3/2,0.26379721479455265,2.1810377459684387e-27,3291600.749661249,0.22,4549982.2428220315
23P_3/2,22D_5/2,0.22688580702053704,2.40881597899783e-27,3635361.4222960765,0.18625,4254257.214692338
27P_3/2,26D_5/2,0.13264910772876007,3.4323941881016766e-27,5180135.604517817,0.13,4231207.749535545
28P_3/2,27D_5/2,0.1176054231335944,3.7164040292403616e-27,5608760.467948674,0.1175,4140803.5602353145
19D_5/2,20P_3/2,0.3656251409602576,1.759222925685335e-27,2655001.964872414,0.24625,4107910.324043998
27D_5/2,28P_3/2,0.1176054231335944,3.716404029240362e-27,5608760.467948675,0.115,4052701.356826054
29P_3/2,28D_5/2,0.10475458954623863,4.011659678487605e-27,6054357.394549508,0.09875,3756514.130802445
20P_3/2,19D_5/2,0.3656251409602576,1.7592229256853347e-27,2655001.964872413,0.2225,3711715.9273087895
13P_3/2,12D_5/2,1.720544640790397,6.372258825918366e-28,961695.0448106516,0.61,3685929.9870804367
28D_5/2,29P_3/2,0.10475458954623863,4.011659678487606e-27,6054357.394549509,0.095,3613861.6954555176
12D_5/2,13P_3/2,1.720544640790397,6.372258825918367e-28,961695.0448106517,0.59125,3572632.958789031
11D_5/2,12P_3/2,2.336114805663694,5.219550740183708e-28,787729.4724055746,0.6375,3155274.532495034
12P_3/2,11D_5/2,2.336114805663694,5.219550740183708e-28,787729.4724055746,0.635,3142900.906877407
23P_3/2,21D_5/2,0.5776118230670919,1.2246685205330252e-27,1848257.7056377877,0.26125,3033882.053660579
18D_5/2,19P_3/2,0.4367140123823133,1.565187194257138e-27,2362165.1443218696,0.20375,3024041.4705667393
19P_3/2,18D_5/2,0.4367140123823133,1.5651871942571378e-27,2362165.1443218696,0.2025,3005489.068906821
23D_5/2,25P_3/2,0.4342071865747395,1.4911777723572668e-27,2250470.851521154,0.2025,2863375.3911740137
18P_3/2,17D_5/2,0.5275365386464099,1.382399989135059e-27,2086304.4892183673,0.2175,2851128.702568725
17D_5/2,18P_3/2,0.5275365386464099,1.382399989135059e-27,2086304.4892183673,0.2175,2851128.702568725
25P_3/2,23D_5/2,0.4342071865747395,1.4911777723572668e-27,2250470.851521154,0.19125,2704298.980553235
11P_3/2,10D_5/2,3.2864222322219616,4.1794570847276385e-28,630759.5592371554,0.665,2635514.1646497077
10D_5/2,11P_3/2,3.2864222322219616,4.179457084727639e-28,630759.5592371555,0.655,2595882.3727000887
24P_3/2,22D_5/2,0.49910964233466215,1.3546430698671428e-27,2044414.0192164409,0.20125,2585143.215625707
16P_3/2,15D_5/2,0.8014325819954113,1.0505742741728581e-27,1585516.3785378356,0.2575,2565239.0025847903
19D_5/2,21P_3/2,0.7917496792710838,9.843996967695656e-28,1485646.3561176248,0.2725,2543676.144625309
21D_5/2,23P_3/2,0.5776118230670919,1.2246685205330256e-27,1848257.7056377884,0.21625,2511299.498963064
20D_5/2,22P_3/2,0.6734685487247627,1.1012540831370468e-27,1662001.8485795935,0.2375,2480133.0789313954
17P_3/2,16D_5/2,0.6454616688459702,1.2108620406325028e-27,1827421.1017437256,0.215,2468635.464548813
24D_5/2,26P_3/2,0.38008346815592314,1.634272656008481e-27,2466428.244816924,0.1575,2440781.549174813
22D_5/2,24P_3/2,0.49910964233466215,1.3546430698671431e-27,2044414.0192164415,0.18875,2424575.314034049
14P_3/2,13D_5/2,1.3040867488474552,7.637543988929982e-28,1152650.6391740588,0.3325,2408070.588822894
21P_3/2,19D_5/2,0.7917496792710838,9.843996967695654e-28,1485646.3561176243,0.2575,2403657.274278961
29P_3/2,27D_5/2,0.26325243722973524,2.1029185469179426e-27,3173704.0215404923,0.1175,2343064.0311038983
27P_3/2,25D_5/2,0.33459131904326145,1.7839277391384563e-27,2692286.2267486,0.135,2283677.9904548842
16D_5/2,17P_3/2,0.6454616688459702,1.2108620406325028e-27,1827421.1017437256,0.19875,2282052.551530589
14D_5/2,15P_3/2,1.0121708130805127,9.015378778546024e-28,1360592.1126672528,0.26625,2276131.9438786777
33P_3/2,31D_5/2,0.1714503166968542,2.8196228363484442e-27,4255347.097519156,0.085,2272656.420606941
